               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.048237,             0.82962,            0.014496,             0.93565,              0.2208,             0.33523,             0.16224,            0.047016,              1.0236,            0.014121,             0.00616,             0.00616,             0.00616
                 130,            0.046723,             0.79071,            0.013849,             0.93565,              0.2208,             0.33523,             0.16224,            0.047016,              1.0236,            0.014121,             0.00613,             0.00613,             0.00613
                 131,            0.046756,             0.79557,            0.014065,             0.68442,             0.21827,             0.32981,             0.14962,             0.04674,               1.036,            0.013837,              0.0061,              0.0061,              0.0061
                 132,            0.047737,             0.82699,            0.014285,             0.68442,             0.21827,             0.32981,             0.14962,             0.04674,               1.036,            0.013837,             0.00607,             0.00607,             0.00607
                 133,            0.046566,             0.80069,            0.013958,             0.68442,             0.21827,             0.32981,             0.14962,             0.04674,               1.036,            0.013837,             0.00604,             0.00604,             0.00604
                 134,            0.047895,              0.8187,             0.01434,             0.92605,             0.21054,             0.29289,             0.12239,            0.047666,              1.0667,             0.01404,             0.00601,             0.00601,             0.00601
                 135,            0.047522,             0.82447,            0.014093,             0.92605,             0.21054,             0.29289,             0.12239,            0.047666,              1.0667,             0.01404,             0.00598,             0.00598,             0.00598
                 136,            0.046847,             0.79351,            0.014142,             0.68102,             0.22024,              0.3308,             0.16903,            0.046159,              1.0105,            0.013621,             0.00595,             0.00595,             0.00595
                 137,            0.045626,             0.76973,            0.013822,             0.68102,             0.22024,              0.3308,             0.16903,            0.046159,              1.0105,            0.013621,             0.00592,             0.00592,             0.00592
                 138,            0.045591,             0.77325,            0.013928,             0.69189,             0.22281,             0.33498,             0.15748,            0.046373,              1.0272,            0.013627,             0.00589,             0.00589,             0.00589
                 139,             0.04607,             0.77164,            0.013771,             0.69189,             0.22281,             0.33498,             0.15748,            0.046373,              1.0272,            0.013627,             0.00586,             0.00586,             0.00586
                 140,             0.04594,             0.77471,             0.01393,             0.69189,             0.22281,             0.33498,             0.15748,            0.046373,              1.0272,            0.013627,             0.00583,             0.00583,             0.00583
                 141,            0.046173,             0.77233,            0.013955,             0.67424,             0.21471,             0.32368,             0.15712,            0.046282,              1.0252,            0.013652,              0.0058,              0.0058,              0.0058
                 142,            0.046382,             0.77861,            0.014214,             0.67424,             0.21471,             0.32368,             0.15712,            0.046282,              1.0252,            0.013652,             0.00577,             0.00577,             0.00577
                 143,            0.045698,             0.77376,             0.01385,             0.69443,             0.22362,             0.33836,             0.17923,            0.045218,              1.0087,            0.013494,             0.00574,             0.00574,             0.00574
                 144,            0.045167,             0.75552,             0.01376,             0.69443,             0.22362,             0.33836,             0.17923,            0.045218,              1.0087,            0.013494,             0.00571,             0.00571,             0.00571
                 145,            0.045148,             0.75688,            0.013909,             0.69443,             0.22362,             0.33836,             0.17923,            0.045218,              1.0087,            0.013494,             0.00568,             0.00568,             0.00568
                 146,            0.045484,             0.76807,            0.013729,             0.67388,             0.21804,             0.32195,              0.1457,             0.04605,              1.0196,            0.013515,             0.00565,             0.00565,             0.00565
                 147,            0.045709,              0.7841,            0.014027,             0.67388,             0.21804,             0.32195,              0.1457,             0.04605,              1.0196,            0.013515,             0.00562,             0.00562,             0.00562
                 148,            0.045585,             0.76686,            0.013706,             0.69031,             0.22339,             0.33802,             0.16419,             0.04494,             0.98702,            0.013455,             0.00559,             0.00559,             0.00559
                 149,            0.044878,             0.74482,            0.013537,             0.69031,             0.22339,             0.33802,             0.16419,             0.04494,             0.98702,            0.013455,             0.00556,             0.00556,             0.00556
                 150,            0.044797,             0.75864,            0.013629,             0.69031,             0.22339,             0.33802,             0.16419,             0.04494,             0.98702,            0.013455,             0.00553,             0.00553,             0.00553
                 151,             0.04612,             0.76091,            0.013576,             0.40329,             0.20829,              0.1732,              0.0872,            0.046823,              1.0227,            0.013368,              0.0055,              0.0055,              0.0055
                 152,            0.046851,             0.76428,            0.013821,             0.40329,             0.20829,              0.1732,              0.0872,            0.046823,              1.0227,            0.013368,             0.00547,             0.00547,             0.00547
                 153,            0.045965,             0.76302,            0.013635,              0.6959,             0.22474,             0.34306,             0.17758,            0.044308,             0.99297,             0.01339,             0.00544,             0.00544,             0.00544
                 154,            0.043965,             0.73785,            0.013751,              0.6959,             0.22474,             0.34306,             0.17758,            0.044308,             0.99297,             0.01339,             0.00541,             0.00541,             0.00541
                 155,             0.04414,             0.73604,            0.013892,              0.6959,             0.22474,             0.34306,             0.17758,            0.044308,             0.99297,             0.01339,             0.00538,             0.00538,             0.00538
                 156,            0.046195,             0.76465,            0.013913,              0.6964,             0.22493,             0.34144,             0.16458,            0.044978,             0.97486,            0.013361,             0.00535,             0.00535,             0.00535
                 157,            0.044838,             0.74154,            0.013725,              0.6964,             0.22493,             0.34144,             0.16458,            0.044978,             0.97486,            0.013361,             0.00532,             0.00532,             0.00532
                 158,            0.046354,             0.74998,            0.013704,             0.32039,             0.23983,             0.27647,             0.11573,            0.049602,              1.1165,            0.013963,             0.00529,             0.00529,             0.00529
                 159,            0.050409,             0.78497,             0.01363,             0.32039,             0.23983,             0.27647,             0.11573,            0.049602,              1.1165,            0.013963,             0.00526,             0.00526,             0.00526
                 160,            0.050093,             0.78338,              0.0136,             0.32039,             0.23983,             0.27647,             0.11573,            0.049602,              1.1165,            0.013963,             0.00523,             0.00523,             0.00523
                 161,             0.04754,             0.77104,            0.013613,             0.69698,             0.21761,             0.32788,             0.16653,            0.045173,             0.96157,            0.013351,              0.0052,              0.0052,              0.0052
                 162,            0.045116,             0.72153,            0.013809,             0.69698,             0.21761,             0.32788,             0.16653,            0.045173,             0.96157,            0.013351,             0.00517,             0.00517,             0.00517
                 163,            0.048211,             0.73158,            0.016045,              0.3829,              0.1956,             0.16091,            0.088247,            0.052837,              1.0636,            0.013297,             0.00514,             0.00514,             0.00514
